Segment (1, 11): [2167.0, 3160.0, 2057.0, 3085.0, 2167.0, 3160.0, 2468.0, 3373.0, 682.0, 1234.0, 0.0, 1028.0, 682.0, 1234.0, 1364.0, 1708.0]
Segment (1, 12): [2218.0, 3195.0, 2057.0, 3085.0, 2218.0, 3195.0, 2644.0, 3504.0, 831.0, 1322.0, 0.0, 1028.0, 831.0, 1322.0, 1662.0, 1954.0]
Segment (1, 13): [2265.0, 3228.0, 2057.0, 3085.0, 2265.0, 3228.0, 2797.0, 3621.0, 948.0, 1399.0, 0.0, 1028.0, 948.0, 1399.0, 1896.0, 2157.0]
Segment (1, 14): [2300.0, 3252.0, 2057.0, 3085.0, 2300.0, 3252.0, 2909.0, 3708.0, 1028.0, 1454.0, 0.0, 1028.0, 1028.0, 1454.0, 2057.0, 2300.0]
Segment (1, 15): [2318.0, 3266.0, 2057.0, 3085.0, 2318.0, 3266.0, 2968.0, 3754.0, 1070.0, 1484.0, 0.0, 1028.0, 1070.0, 1484.0, 2139.0, 2374.0]
Segment (2, 0): [3610.0, 4068.0, 2657.0, 3218.0, 1789.0, 2489.0, 1107.0, 1968.0, 3209.0, 3312.0, 2139.0, 2276.0, 1070.0, 1270.0, 0.0, 360.0]
Segment (2, 1): [3501.0, 3973.0, 2593.0, 3167.0, 1769.0, 2481.0, 1128.0, 1995.0, 3085.0, 3193.0, 2057.0, 2199.0, 1028.0, 1236.0, 0.0, 370.0]
Segment (2, 2): [3291.0, 3791.0, 2470.0, 3074.0, 1733.0, 2470.0, 1172.0, 2050.0, 2844.0, 2960.0, 1896.0, 2050.0, 948.0, 1172.0, 0.0, 393.0]
Segment (2, 3): [2995.0, 3543.0, 2301.0, 2950.0, 1690.0, 2463.0, 1239.0, 2132.0, 2492.0, 2625.0, 1662.0, 1836.0, 831.0, 1082.0, 0.0, 430.0]
Segment (2, 4): [2640.0, 3258.0, 2107.0, 2821.0, 1653.0, 2472.0, 1333.0, 2242.0, 2045.0, 2205.0, 1364.0, 1573.0, 682.0, 979.0, 0.0, 486.0]
Segment (2, 5): [2268.0, 2985.0, 1923.0, 2718.0, 1643.0, 2512.0, 1456.0, 2382.0, 1520.0, 1731.0, 1013.0, 1285.0, 507.0, 881.0, 0.0, 568.0]
Segment (2, 6): [1958.0, 2793.0, 1802.0, 2682.0, 1684.0, 2599.0, 1609.0, 2549.0, 936.0, 1255.0, 624.0, 1020.0, 312.0, 823.0, 0.0, 686.0]
Segment (2, 7): [1837.0, 2769.0, 1817.0, 2756.0, 1802.0, 2746.0, 1793.0, 2740.0, 316.0, 932.0, 211.0, 894.0, 105.0, 866.0, 0.0, 848.0]
Segment (2, 8): [1899.0, 2845.0, 1896.0, 2844.0, 1899.0, 2845.0, 1907.0, 2851.0, 105.0, 954.0, 0.0, 948.0, 105.0, 954.0, 211.0, 971.0]
Segment (2, 9): [1921.0, 2861.0, 1896.0, 2844.0, 1921.0, 2861.0, 1996.0, 2911.0, 312.0, 998.0, 0.0, 948.0, 312.0, 998.0, 624.0, 1135.0]
Segment (2, 10): [1962.0, 2888.0, 1896.0, 2844.0, 1962.0, 2888.0, 2150.0, 3019.0, 507.0, 1075.0, 0.0, 948.0, 507.0, 1075.0, 1013.0, 1387.0]
Segment (2, 11): [2015.0, 2924.0, 1896.0, 2844.0, 2015.0, 2924.0, 2335.0, 3154.0, 682.0, 1168.0, 0.0, 948.0, 682.0, 1168.0, 1364.0, 1661.0]
Segment (2, 12): [2070.0, 2962.0, 1896.0, 2844.0, 2070.0, 2962.0, 2521.0, 3293.0, 831.0, 1260.0, 0.0, 948.0, 831.0, 1260.0, 1662.0, 1913.0]
Segment (2, 13): [2119.0, 2997.0, 1896.0, 2844.0, 2119.0, 2997.0, 2681.0, 3418.0, 948.0, 1340.0, 0.0, 948.0, 948.0, 1340.0, 1896.0, 2119.0]
Segment (2, 14): [2157.0, 3024.0, 1896.0, 2844.0, 2157.0, 3024.0, 2797.0, 3510.0, 1028.0, 1399.0, 0.0, 948.0, 1028.0, 1399.0, 2057.0, 2265.0]
Segment (2, 15): [2177.0, 3038.0, 1896.0, 2844.0, 2177.0, 3038.0, 2858.0, 3558.0, 1070.0, 1429.0, 0.0, 948.0, 1070.0, 1429.0, 2139.0, 2340.0]
Segment (3, 0): [3520.0, 3882.0, 2544.0, 2993.0, 1639.0, 2215.0, 906.0, 1643.0, 3209.0, 3289.0, 2139.0, 2245.0, 1070.0, 1225.0, 0.0, 285.0]
Segment (3, 1): [3408.0, 3782.0, 2476.0, 2938.0, 1616.0, 2203.0, 926.0, 1668.0, 3085.0, 3168.0, 2057.0, 2167.0, 1028.0, 1190.0, 0.0, 294.0]
Segment (3, 2): [3192.0, 3589.0, 2346.0, 2833.0, 1573.0, 2184.0, 965.0, 1719.0, 2844.0, 2933.0, 1896.0, 2015.0, 948.0, 1122.0, 0.0, 313.0]
Segment (3, 3): [2885.0, 3323.0, 2165.0, 2694.0, 1519.0, 2165.0, 1027.0, 1796.0, 2492.0, 2595.0, 1662.0, 1796.0, 831.0, 1027.0, 0.0, 344.0]
Segment (3, 4): [2512.0, 3013.0, 1953.0, 2542.0, 1468.0, 2159.0, 1114.0, 1902.0, 2045.0, 2169.0, 1364.0, 1526.0, 682.0, 915.0, 0.0, 393.0]
Segment (3, 5): [2114.0, 2706.0, 1745.0, 2413.0, 1440.0, 2184.0, 1230.0, 2037.0, 1520.0, 1684.0, 1013.0, 1226.0, 507.0, 804.0, 0.0, 466.0]
Segment (3, 6): [1766.0, 2475.0, 1595.0, 2350.0, 1463.0, 2257.0, 1379.0, 2200.0, 936.0, 1187.0, 624.0, 940.0, 312.0, 727.0, 0.0, 575.0]
Segment (3, 7): [1609.0, 2422.0, 1586.0, 2407.0, 1570.0, 2396.0, 1560.0, 2389.0, 316.0, 826.0, 211.0, 784.0, 105.0, 752.0, 0.0, 732.0]
Segment (3, 8): [1665.0, 2495.0, 1662.0, 2492.0, 1665.0, 2495.0, 1675.0, 2501.0, 105.0, 837.0, 0.0, 831.0, 105.0, 837.0, 211.0, 857.0]
Segment (3, 9): [1691.0, 2512.0, 1662.0, 2492.0, 1691.0, 2512.0, 1775.0, 2569.0, 312.0, 887.0, 0.0, 831.0, 312.0, 887.0, 624.0, 1039.0]
Segment (3, 10): [1737.0, 2543.0, 1662.0, 2492.0, 1737.0, 2543.0, 1946.0, 2690.0, 507.0, 973.0, 0.0, 831.0, 507.0, 973.0, 1013.0, 1310.0]
Segment (3, 11): [1796.0, 2584.0, 1662.0, 2492.0, 1796.0, 2584.0, 2150.0, 2841.0, 682.0, 1075.0, 0.0, 831.0, 682.0, 1075.0, 1364.0, 1597.0]
Segment (3, 12): [1858.0, 2627.0, 1662.0, 2492.0, 1858.0, 2627.0, 2350.0, 2995.0, 831.0, 1175.0, 0.0, 831.0, 831.0, 1175.0, 1662.0, 1858.0]
Segment (3, 13): [1913.0, 2667.0, 1662.0, 2492.0, 1913.0, 2667.0, 2521.0, 3131.0, 948.0, 1260.0, 0.0, 831.0, 948.0, 1260.0, 1896.0, 2070.0]
Segment (3, 14): [1954.0, 2696.0, 1662.0, 2492.0, 1954.0, 2696.0, 2644.0, 3232.0, 1028.0, 1322.0, 0.0, 831.0, 1028.0, 1322.0, 2057.0, 2218.0]
Segment (3, 15): [1976.0, 2712.0, 1662.0, 2492.0, 1976.0, 2712.0, 2709.0, 3285.0, 1070.0, 1354.0, 0.0, 831.0, 1070.0, 1354.0, 2139.0, 2295.0]
Segment (4, 0): [3421.0, 3673.0, 2417.0, 2736.0, 1467.0, 1890.0, 663.0, 1239.0, 3209.0, 3263.0, 2139.0, 2211.0, 1070.0, 1176.0, 0.0, 199.0]
Segment (4, 1): [3306.0, 3566.0, 2345.0, 2673.0, 1439.0, 1872.0, 680.0, 1261.0, 3085.0, 3142.0, 2057.0, 2131.0, 1028.0, 1139.0, 0.0, 205.0]
Segment (4, 2): [3081.0, 3360.0, 2206.0, 2555.0, 1387.0, 1841.0, 713.0, 1307.0, 2844.0, 2904.0, 1896.0, 1976.0, 948.0, 1067.0, 0.0, 220.0]
Segment (4, 3): [2761.0, 3071.0, 2010.0, 2393.0, 1319.0, 1804.0, 766.0, 1377.0, 2492.0, 2562.0, 1662.0, 1753.0, 831.0, 965.0, 0.0, 244.0]
Segment (4, 4): [2367.0, 2727.0, 1777.0, 2211.0, 1247.0, 1777.0, 843.0, 1474.0, 2045.0, 2129.0, 1364.0, 1474.0, 682.0, 843.0, 0.0, 282.0]
Segment (4, 5): [1936.0, 2373.0, 1535.0, 2042.0, 1192.0, 1776.0, 948.0, 1601.0, 1520.0, 1632.0, 1013.0, 1159.0, 507.0, 715.0, 0.0, 343.0]
Segment (4, 6): [1536.0, 2084.0, 1342.0, 1937.0, 1188.0, 1827.0, 1087.0, 1757.0, 936.0, 1110.0, 624.0, 846.0, 312.0, 612.0, 0.0, 438.0]
Segment (4, 7): [1322.0, 1983.0, 1294.0, 1964.0, 1274.0, 1951.0, 1262.0, 1943.0, 316.0, 696.0, 211.0, 646.0, 105.0, 608.0, 0.0, 585.0]
Segment (4, 8): [1368.0, 2048.0, 1364.0, 2045.0, 1368.0, 2048.0, 1380.0, 2056.0, 105.0, 690.0, 0.0, 682.0, 105.0, 690.0, 211.0, 714.0]
Segment (4, 9): [1399.0, 2069.0, 1364.0, 2045.0, 1399.0, 2069.0, 1500.0, 2139.0, 312.0, 750.0, 0.0, 682.0, 312.0, 750.0, 624.0, 924.0]
Segment (4, 10): [1455.0, 2107.0, 1364.0, 2045.0, 1455.0, 2107.0, 1699.0, 2283.0, 507.0, 849.0, 0.0, 682.0, 507.0, 849.0, 1013.0, 1221.0]
Segment (4, 11): [1525.0, 2156.0, 1364.0, 2045.0, 1525.0, 2156.0, 1928.0, 2458.0, 682.0, 964.0, 0.0, 682.0, 682.0, 964.0, 1364.0, 1525.0]
Segment (4, 12): [1597.0, 2208.0, 1364.0, 2045.0, 1597.0, 2208.0, 2150.0, 2635.0, 831.0, 1075.0, 0.0, 682.0, 831.0, 1075.0, 1662.0, 1796.0]
Segment (4, 13): [1661.0, 2254.0, 1364.0, 2045.0, 1661.0, 2254.0, 2335.0, 2789.0, 948.0, 1168.0, 0.0, 682.0, 948.0, 1168.0, 1896.0, 2015.0]
Segment (4, 14): [1708.0, 2289.0, 1364.0, 2045.0, 1708.0, 2289.0, 2468.0, 2901.0, 1028.0, 1234.0, 0.0, 682.0, 1028.0, 1234.0, 2057.0, 2167.0]
Segment (4, 15): [1733.0, 2308.0, 1364.0, 2045.0, 1733.0, 2308.0, 2537.0, 2960.0, 1070.0, 1268.0, 0.0, 682.0, 1070.0, 1268.0, 2139.0, 2245.0]
Segment (5, 0): [3327.0, 3471.0, 2295.0, 2481.0, 1297.0, 1555.0, 404.0, 789.0, 3209.0, 3239.0, 2139.0, 2179.0, 1070.0, 1129.0, 0.0, 114.0]
