Sequence Number,Value
8,4213825
152,4303531
62,4330274
164,4454027
68,4456449
116,4522034
28,4587570
188,4653106
114,4718642
144,4784178
138,4849714
232,4915250
220,4980786
254,5046323
78,5111859
160,5177396
122,5242932
82,5308468
140,5374004
88,5439540
96,5505076
60,5570611
242,5636148
16,5701683
164,5767219
150,5832754
254,5898290
76,5963825
174,6029361
116,6094896
248,6160432
166,6225968
92,6291504
176,6357040
206,6422576
162,6488112
52,6553647
198,6619183
50,6684719
48,6750254
34,6815790
204,6881327
50,6946863
154,7012399
230,7077935
130,7143471
212,7209007
250,7274544
130,7340080
132,7405617
10,7471152
248,7536688
246,7602225
100,7667760
222,7733297
38,7798833
150,7864369
112,7929905
202,7995441
150,8060978
22,8126514
76,8192050
34,8257586
42,8323121
108,-8352504
58,-8293886
166,-8256797
250,-8126744
184,-8126398
62,-8060878
124,-7995342
134,-7929806
22,-7864270
160,-7798734
196,-7733197
26,-7667662
156,-7602126
194,-7536590
96,-7471054
188,-7405518
80,-7339983
212,-7274447
8,-7208911
74,-7143375
164,-7077839
142,-7012303
156,-6946767
84,-6881231
132,-6815695
82,-6750159
150,-6684623
154,-6619087
174,-6553551
236,-6488014
122,-6422478
122,-6356942
184,-6291406
8,-6225870
166,-6160334
78,-6094798
188,-6029262
70,-5963726
96,-5898190
102,-5832655
248,-5767119
124,-5701582
22,-5636046
4,-5570510
94,-5504974
126,-5439438
82,-5373902
218,-5308366
188,-5242829
140,-5177294
250,-5111757
112,-5046221
176,-4980684
44,-4915149
246,-4847806
82,-4778152
22,-4718078
212,-4653003
44,-4587467
208,-4521930
26,-4456394
44,-4390859
132,-4325322
30,-4259787
148,-4166097
196,-4090991
208,-3998327
100,-3997238
210,-3932041
26,-3866571
230,-3801035
206,-3735499
236,-3669963
108,-3604427
12,-3538892
134,-3473356
54,-3407820
62,-3342285
250,-3276749
250,-3211213
174,-3145677
78,-3080141
80,-3014605
82,-2949069
134,-2883532
0,-2817996
58,-2752460
230,-2686923
2,-2621387
52,-2555851
194,-2490314
48,-2424778
138,-2359242
106,-2293706
142,-2228170
162,-2162634
236,-2097098
130,-2031562
206,-1966026
224,-1900489
10,-1834953
162,-1769416
28,-1703881
86,-1638345
144,-1572809
18,-1507273
42,-1441737
60,-1376202
214,-1310665
74,-1245129
50,-1179594
204,-1114058
36,-1048522
120,-982987
210,-917451
126,-851915
12,-786379
52,-720843
206,-655307
140,-589771
170,-524235
160,-458699
236,-393162
34,-327626
122,-262090
92,-196554
212,-131017
170,-65480
2,28097
200,122286
42,158269
122,215769
166,327640
248,327738
80,393273
204,458809
48,524344
226,589880
14,655415
224,720950
236,786487
130,852022
220,917558
254,983095
72,1048631
116,1114166
190,1179702
70,1245238
20,1310774
74,1376310
120,1441846
44,1507382
134,1572918
162,1638455
12,1703991
64,1769526
222,1835063
102,1900599
172,1966136
136,2031672
176,2097209
20,2162745
118,2228281
196,2293817
230,2359353
250,2424890
118,2490426
22,2555962
104,2621497
146,2687034
8,2752570
16,2818106
32,2883641
200,2949177
208,3014714
44,3080250
52,3145786
118,3211322
50,3276858
64,3342394
228,3407930
226,3473467
94,3539003
18,3604539
56,3670075
92,3735611
118,3801146
252,3866682
254,3932218
186,3997755
16,4063290
208,4128826
186,4221952
102,4268258
68,4384608
86,4426856
218,4521977
134,4522042
60,4587577
180,4653113
118,4718649
20,4784185
4,4849720
172,4915256
96,4980792
12,5046327
202,5111864
102,5177399
226,5242936
66,5308472
62,5374008
144,5439544
28,5505080
56,5570616
114,5636152
156,5701688
176,5767224
138,5832760
230,5898297
102,5963833
104,6029369
170,6094906
94,6160442
76,6225978
250,6291514
226,6357051
96,6422587
112,6488123
124,6553659
128,6619195
92,6750114
20,6815456
228,6815789
72,6881337
182,6946873
82,7012408
204,7077944
162,7143480
74,7209016
22,7274552
18,7340087
152,7405623
80,7471158
218,7536694
176,7602230
186,7667766
194,7733302
98,7798839
56,7864375
210,7929912
16,7995448
56,8060984
156,8126521
24,8192057
154,8257593
218,8323129
172,-8360145
160,-8294249
76,-8240747
6,-8134787
104,-8126423
236,-8060870
174,-7995334
230,-7929797
44,-7864261
202,-7798725
232,-7733188
14,-7667652
122,-7602116
174,-7536580
60,-7471044
104,-7405508
74,-7339972
64,-7274436
202,-7208900
134,-7143364
44,-7077828
110,-7012292
74,-6946757
238,-6881221
148,-6815686
166,-6750150
244,-6684614
106,-6619078
72,-6553543
162,-6488007
154,-6422471
82,-6356935
6,-6291399
28,-6225863
142,-6160326
10,-6094790
48,-6029254
106,-5963718
162,-5898181
0,-5832645
96,-5767109
112,-5701573
124,-5636037
240,-5570500
44,-5504964
196,-5439427
52,-5373891
152,-5308355
230,-5242818
62,-5177282
154,-5111746
232,-5046210
250,-4980673
90,-4915137
152,-4849601
158,-4784065
44,-4718529
44,-4652993
44,-4587457
58,-4521921
10,-4456385
84,-4390849
40,-4325313
160,-4259777
2,-4165597
172,-4103822
140,-4039156
210,-3944058
142,-3932049
118,-3866562
168,-3801026
168,-3735490
116,-3669954
164,-3604418
116,-3538882
98,-3473347
214,-3407811
186,-3342275
162,-3276739
70,-3211203
124,-3145667
22,-3080132
254,-3014595
88,-2949059
96,-2883523
240,-2817986
22,-2752450
52,-2686914
134,-2621378
188,-2555841
56,-2490305
92,-2424769
28,-2359234
230,-2293697
22,-2228162
222,-2148938
196,-2078130
180,-2031434
114,-1966018
60,-1900483
224,-1834947
26,-1769411
60,-1703876
240,-1638339
76,-1572803
48,-1507267
34,-1441731
22,-1376195
170,-1310659
116,-1245123
146,-1179587
116,-1114051
54,-1048515
26,-982979
144,-917443
68,-851906
10,-786370
70,-720834
212,-655297
34,-589761
6,-524225
0,-458689
8,-393154
162,-327618
104,-262082
84,-196546
28,-131010
24,-65475
148,60745
180,129128
40,144844
170,255286
24,327676
114,327730
20,458472
40,524189
164,524348
136,589884
68,655420
106,720955
160,786491
230,852027
208,917563
170,983100
88,1048636
170,1114172
108,1179708
226,1245244
166,1310781
60,1376318
78,1441854
174,1507390
150,1572926
198,1638462
96,1703998
76,1769534
70,1835070
170,1900606
138,1966142
242,2031679
130,2097215
196,2162751
224,2228288
66,2293823
216,2359360
56,2424896
74,2490432
214,2555968
152,2621504
242,2687040
216,2752576
212,2818112
128,2883648
86,2949184
32,3014719
236,3080256
102,3145791
88,3211327
98,3276862
110,3342398
90,3407933
250,3473469
166,3539005
106,3604541
104,3670077
134,3735613
58,3801149
22,3866684
210,3932221
46,3997757
90,4063293
152,4128829
132,4214796
90,4311894
40,4377200
4,4397924
52,4456575
72,4522046
202,4587583
52,4653119
168,4718655
178,4784191
164,4849727
164,4915263
138,4980799
24,5046334
120,5111870
164,5177406
30,5242942
66,5308477
220,5374013
158,5439549
128,5505085
102,5570620
228,5636157
48,5701693
50,5767228
152,5832764
224,5898300
68,5963836
174,6029372
90,6094908
100,6160443
186,6225979
110,6291515
122,6357051
44,6422587
52,6488123
64,6553659
82,6619195
168,6684731
216,6750267
212,6815804
56,6881340
106,6946876
182,7012413
6,7077949
56,7143485
184,7209021
252,7274558
42,7340094
148,7405630
166,7471166
172,7536702
184,7602238
112,7667774
114,7733309
228,7798845
232,7864381
70,7929916
240,7995451
250,8060988
32,8126523
110,8192059
56,8257594
168,8323130
206,-8368398
126,-8287819
250,-8237100
250,-8136595
168,-8126405
62,-8060869
36,-7995333
44,-7929798
242,-7864262
236,-7798726
240,-7733190
182,-7667654
174,-7602117
6,-7536582
226,-7471046
198,-7405510
228,-7339973
48,-7274437
56,-7208901
64,-7143365
90,-7077829
132,-7012293
120,-6946757
144,-6881221
168,-6815685
156,-6750149
94,-6684613
188,-6619077
108,-6553541
114,-6488005
100,-6422470
200,-6356933
34,-6291398
170,-6225862
124,-6160326
140,-6094790
144,-6029254
100,-5963718
78,-5898183
202,-5832647
76,-5767111
48,-5701575
20,-5636040
106,-5570504
224,-5504968
218,-5439431
20,-5373895
150,-5308359
192,-5242823
216,-5177286
58,-5111750
102,-5046214
212,-4980678
252,-4915141
104,-4849605
130,-4784069
244,-4718533
224,-4652996
98,-4587460
18,-4521924
126,-4456388
22,-4390853
248,-4325317
250,-4259781
126,-4174097
80,-4113973
200,-4001870
58,-3962737
52,-3932085
138,-3866565
76,-3801029
86,-3735493
226,-3669957
112,-3604421
176,-3538885
112,-3473350
214,-3407814
72,-3342278
30,-3276743
132,-3211207
76,-3145672
70,-3080137
244,-3014600
4,-2949064
34,-2883529
198,-2817993
36,-2752458
194,-2686922
170,-2621385
60,-2555849
204,-2490312
70,-2424777
228,-2359240
0,-2293705
252,-2228168
124,-2162631
102,-2097094
78,-2031558
238,-1966021
112,-1900484
42,-1834948
96,-1769412
110,-1703876
36,-1638340
110,-1572804
220,-1507267
136,-1441731
142,-1376195
160,-1310660
192,-1245124
144,-1179589
184,-1114053
94,-1048517
140,-982981
222,-917445
212,-851908
22,-786374
194,-720838
182,-655302
18,-589767
206,-524231
150,-458695
42,-393159
192,-327623
226,-262086
60,-196551
210,-131015
92,-65479
70,20169
40,120265
50,178168
26,205883
94,262169
190,327738
192,393274
184,458810
146,524346
122,589882
176,655418
190,720955
56,786491
0,852027
238,917564
22,983100
32,1048636
82,1114172
16,1179707
190,1245243
82,1310778
220,1376314
170,1441850
84,1507386
4,1572921
224,1638458
52,1703994
42,1769530
180,1835066
116,1900602
208,1966138
78,2031674
68,2097210
84,2162746
146,2228282
82,2293818
76,2359353
254,2424890
34,2490426
76,2555962
24,2621498
128,2687034
246,2752570
152,2818106
216,2883642
164,2949178
228,3014714
132,3080250
70,3145786
236,3211323
252,3276861
26,3342397
52,3407933
232,3473471
110,3539009
150,3604544
182,3670080
102,3735617
76,3801155
74,3866690
194,3932222
176,3997752
172,4063283
232,4128818
226,4214732
222,4307540
156,4386019
4,4393526
96,4456581
48,4522044
132,4587574
176,4653110
166,4718651
14,4784190
114,4849728
156,4915266
80,4980804
154,5046341
238,5111877
90,5177410
106,5242944
0,5308478
30,5374011
216,5439544
60,5505077
4,5570611
70,5636147
58,5701684
232,5767225
96,5832766
128,5898306
198,5963842
68,6029374
84,6094905
254,6160439
154,6225975
178,6291513
134,6357052
238,6422592
162,6488131
128,6553668
10,6619201
152,6684732
102,6750263
44,6815794
160,6881329
96,6946867
132,7012407
250,7077947
34,7143484
